Po_num,Invoice_date,Requesting_auth,Approving_manager,Supplier,Product,Contract,Unit_price,PO_Quantity,City,Market_price,Total_cost
PO 00016,2016-01-02,Brianna Lynn,Mark Mclean,Budget Foods,Onion,1,16.75,64,Hyderabad,17.25,1072.0
PO 00017,2016-01-02,Nicholas Pittman,Danny Rivera,Rancher’s Grocery,Apple,0,12.69,67,Hyderabad,12.69,850.23
PO 00018,2016-01-02,Janet Le,Dennis Williams,Freshmart Co-op,BeetrootPotato,0,51.85,83,Chandigarh,51.85,4303.55
PO 00019,2016-01-02,Angela Hernandez,Catherine Farrell,Go4Fresh,Tomato,1,51.84,134,Pune,51.84,6946.56
PO 00020,2016-01-02,Jake Cunningham,Peggy Velasquez,Global Fresh Market,Capsicum,1,23.24,122,Aurangabad,21.74,2835.28
PO 00021,2016-01-02,Brittany Walker,Jeanette Estes,Food to Fly,Carrot,0,50.6,138,Chennai,50.6,6982.8
PO 00022,2016-01-02,Katelyn Parsons,Catherine Farrell,Fleet Market,Tomato,1,17.56,150,NashikDelhi,17.56,2634.0
PO 00023,2016-01-02,Thomas Hamilton,Catherine Farrell,Rancher’s Grocery,Beans,1,28.33,87,Surat,28.33,2464.71
PO 00024,2016-01-03,Katelyn Parsons,Joshua Johnson,Global Fresh Market,Banana,1,45.44,139,Aurangabad,43.94,6316.16
PO 00025,2016-01-03,Janet Le,Barry Salazar,Go4Fresh,Cucumber,1,58.21,124,Hyderabad,58.21,7218.04
PO 00026,2016-01-03,Katherine Mcgee DDS,Barry Salazar,Food Festive,Capsicum,1,40.31,60,Bangalore,40.81,2418.6
PO 00027,2016-01-03,Jay York,Jessica Vargas,Fleet Market,Banana,1,21.89,128,Kolkatta,21.89,2801.92
PO 00028,2016-01-03,Thomas Hamilton,Cathy Guzman,Go4Fresh,Capsicum,1,13.11,82,Lucknow,13.11,1075.02
PO 00029,2016-01-03,Heidi White,Catherine Farrell,Dilocious,Cauliflower,0,27.37,89,Lucknow,27.37,2435.93
PO 00030,2016-01-03,Thomas Hamilton,Jennifer Delgado,Fleet Market,Banana,1,57.44,92,NashikDelhi,55.94,5284.48
PO 00031,2016-01-03,Linda Taylor,Jasmine Long,Jamboree Marketplace,Apple,1,47.76,102,Mumbai,48.26,4871.52
PO 00032,2016-01-03,Patrick Wolf,Barry Salazar,Dollar Pantry,BeetrootPotato,1,18.62,118,Chennai,18.62,2197.16
PO 00033,2016-01-03,Katelyn Parsons,Joshua Johnson,Freshmart Co-op,Tomato,1,30.66,146,NashikDelhi,30.66,4476.36
PO 00034,2016-01-03,Janet Le,Jessica Vargas,Food Festive,Cucumber,1,41.13,140,Pune,41.13,5758.2
PO 00035,2016-01-04,Nicholas Pittman,Shelby Martinez,Quick Fare Foods,Tomato,1,26.4,65,Pune,24.9,1716.0
PO 00036,2016-01-04,Cameron Grant,Jessica Keith,Quick Fare Foods,Capsicum,0,18.62,98,Chennai,18.62,1824.76
PO 00037,2016-01-04,Brianna Lynn,Lawrence Cohen,Rancher’s Grocery,Beans,0,36.16,135,Pune,36.66,4881.6
PO 00038,2016-01-04,Katelyn Parsons,Lawrence Cohen,Stocked Pantry,Capsicum,0,51.55,83,Jaipur,51.55,4278.65
PO 00039,2016-01-04,Jeffrey Murphy,Catherine Farrell,Freshmart Co-op,Bringal,1,55.12,79,Aurangabad,55.12,4354.48
PO 00040,2016-01-04,Cameron Grant,Jessica Vargas,Budget Foods,Cucumber,1,15.08,150,Kolkatta,15.579999999999998,2262.0
PO 00041,2016-01-04,Jake Cunningham,Jeanette Estes,Dollar Pantry,Cucumber,0,15.42,88,Aurangabad,13.92,1356.96
PO 00042,2016-01-04,Kimberly Shields,Dennis Williams,Budget Foods,Cabbage,1,30.99,99,Mumbai,29.49,3068.01
PO 00043,2016-01-04,Janet Le,Dennis Williams,Go4Fresh,Capsicum,0,36.97,87,Nagpur,37.47,3216.39
PO 00044,2016-01-04,Adrian Morgan,Dennis Williams,Food to Fly,BeetrootPotato,1,24.65,97,Nagpur,24.65,2391.05
PO 00045,2016-01-04,Caroline Walters,Catherine Farrell,Future FoodBetter Bites Deli,Onion,1,10.76,97,Hyderabad,10.76,1043.72
PO 00046,2016-01-04,Jeffrey Murphy,Jessica Vargas,Jamboree Marketplace,BeetrootPotato,1,13.84,109,Kolkatta,13.84,1508.56
PO 00047,2016-01-04,Katelyn Parsons,Lawrence Cohen,Quick Fare Foods,Bringal,1,21.32,113,Kolkatta,21.82,2409.16
PO 00048,2016-01-04,Sara Adkins,Peggy Velasquez,Dilocious,Tomato,0,44.83,50,Chandigarh,45.33,2241.5
PO 00049,2016-01-05,Randall Smith,Jeanette Estes,Fleet Market,Cucumber,0,46.64,110,Chandigarh,46.64,5130.4
PO 00050,2016-01-05,Janet Le,Shelby Martinez,Go4Fresh,Cauliflower,0,44.17,87,Aurangabad,44.67,3842.79
PO 00051,2016-01-05,Janet Le,Jessica Keith,Snack Paradise,Onion,1,29.44,113,Jaipur,29.94,3326.72
PO 00052,2016-01-05,Nicole Bell,Katie Thompson,Global Fresh Market,Carrot,1,48.3,89,Mumbai,46.8,4298.7
PO 00053,2016-01-05,Linda Taylor,Mark Mclean,Food to Fly,Beans,0,54.93,69,Nagpur,54.93,3790.17
PO 00054,2016-01-05,Jeffrey Murphy,Shelby Martinez,Fleet Market,Banana,1,41.85,67,Aurangabad,41.85,2803.95
PO 00055,2016-01-05,Ralph Moreno,Dennis Williams,Snack Paradise,Cabbage,1,59.11,127,Aurangabad,59.11,7506.97
PO 00056,2016-01-05,Randall Smith,Jeanette Estes,Freshmart Co-op,Bringal,0,30.68,67,Surat,31.18,2055.56
PO 00057,2016-01-05,Patricia Williams,Shelby Martinez,Global Fresh Market,Beans,1,54.24,60,Pune,54.74,3254.4
PO 00058,2016-01-05,Nicole Bell,Jessica Vargas,Snack Paradise,Pumpkin,0,25.86,62,Pune,26.36,1603.32
PO 00059,2016-01-06,Janet Le,Catherine Farrell,Fleet Market,Banana,1,29.65,75,Aurangabad,30.15,2223.75
PO 00060,2016-01-06,Nicholas Pittman,Jessica Vargas,Rancher’s Grocery,Cauliflower,0,46.9,76,Chandigarh,47.4,3564.4
PO 00061,2016-01-06,Sara Adkins,Jasmine Long,Quick Fare Foods,Carrot,1,30.35,126,Nagpur,30.85,3824.1
PO 00062,2016-01-06,Nicholas Pittman,Jeanette Estes,Go4Fresh,Pumpkin,1,22.75,75,Hyderabad,22.75,1706.25
PO 00063,2016-01-06,Katelyn Parsons,Barry Salazar,Global Fresh Market,Tomato,1,25.07,136,Aurangabad,25.07,3409.52
PO 00064,2016-01-06,Lisa Smith,Jeanette Estes,Snack Paradise,BeetrootPotato,1,33.22,143,Lucknow,33.72,4750.46
PO 00065,2016-01-06,Katherine Mcgee DDS,Jennifer Delgado,Future FoodBetter Bites Deli,Carrot,0,34.94,73,Hyderabad,33.44,2550.62
PO 00066,2016-01-06,Adrian Morgan,Barry Salazar,Dollar Pantry,BeetrootPotato,1,20.78,53,Chennai,20.78,1101.34
PO 00067,2016-01-06,Lisa Smith,Catherine Farrell,Market Convenience,Banana,1,59.87,135,Chennai,59.87,8082.45
PO 00068,2016-01-07,Nicholas Pittman,Danny Rivera,Market Convenience,Cauliflower,1,56.35,69,Surat,56.85,3888.15
PO 00069,2016-01-07,Katelyn Parsons,Jessica Keith,Dilocious,BeetrootPotato,1,38.79,147,Hyderabad,39.29,5702.13
PO 00070,2016-01-07,Janet Le,Jennifer Delgado,Dollar Pantry,Cucumber,1,11.6,50,Bangalore,12.1,580.0
PO 00071,2016-01-07,Cameron Grant,Shelby Martinez,Quick Fare Foods,Beans,1,10.93,102,Chennai,11.43,1114.86
PO 00072,2016-01-07,Janet Le,Katie Thompson,Fresh Food Marketplace,Banana,1,35.1,139,Nagpur,35.1,4878.9
PO 00073,2016-01-07,Thomas Hamilton,Catherine Farrell,Rancher’s Grocery,Cabbage,1,18.26,110,Hyderabad,18.26,2008.6
PO 00074,2016-01-07,Lindsay Martinez,Joshua Johnson,Go4Fresh,Onion,1,13.47,126,Ahmedabad,11.97,1697.22
PO 00075,2016-01-07,Nicholas Pittman,Jeanette Estes,Global Fresh Market,Apple,0,14.31,138,Chennai,14.31,1974.78
PO 00076,2016-01-07,Katherine Mcgee DDS,Mark Mclean,Freshmart Co-op,Beans,1,44.73,52,NashikDelhi,44.73,2325.96
PO 00077,2016-01-08,Nicholas Pittman,Jennifer Delgado,Dollar Pantry,Cucumber,1,26.21,138,Lucknow,24.71,3616.98
PO 00078,2016-01-08,Brianna Lynn,Jennifer Delgado,Freshmart Co-op,Tomato,1,34.96,88,Lucknow,35.46,3076.48
PO 00079,2016-01-08,Sara Adkins,Jeanette Estes,Go4Fresh,Cucumber,0,34.19,106,Chandigarh,34.69,3624.14
PO 00080,2016-01-08,Brianna Lynn,Danny Rivera,Budget Foods,Onion,1,30.39,117,Surat,28.89,3555.63
PO 00081,2016-01-08,Pamela Smith,Jennifer Delgado,Snack Paradise,Cauliflower,1,32.74,133,Bangalore,32.74,4354.42
PO 00082,2016-01-08,Patricia Williams,Joshua Johnson,Food to Fly,Banana,1,29.09,137,Pune,29.09,3985.33
PO 00083,2016-01-08,Nicole Bell,Cathy Guzman,Market Convenience,BeetrootPotato,1,28.49,62,Nagpur,26.99,1766.38
PO 00084,2016-01-08,Jay York,Jasmine Long,Stocked Pantry,Beans,0,42.91,129,Aurangabad,43.41,5535.39
PO 00085,2016-01-08,Nicholas Pittman,Catherine Farrell,Jamboree Marketplace,Pumpkin,1,14.31,67,Kolkatta,15.310000000000002,958.77
PO 00086,2016-01-08,Janet Le,Lawrence Cohen,Stocked Pantry,Carrot,1,17.5,101,Hyderabad,18.0,1767.5
PO 00087,2016-01-08,Elijah Collins,Catherine Farrell,Global Fresh Market,BeetrootPotato,1,57.0,93,Kolkatta,57.5,5301.0
PO 00088,2016-01-08,Sara Adkins,Catherine Farrell,Dilocious,Pumpkin,1,54.02,97,Chennai,54.02,5239.94
PO 00089,2016-01-08,Cameron Grant,Katie Thompson,Jamboree Marketplace,Onion,0,34.78,85,Bangalore,34.78,2956.3
PO 00090,2016-01-09,Jeffrey Murphy,Jennifer Delgado,Fresh Food Marketplace,Cabbage,0,48.02,100,Kolkatta,48.02,4802.0
PO 00091,2016-01-09,Katherine Mcgee DDS,Danny Rivera,Fresh Food Marketplace,Capsicum,1,39.83,76,Aurangabad,40.33,3027.08
PO 00092,2016-01-09,Randall Smith,Peggy Velasquez,Fleet Market,Apple,1,37.36,105,Hyderabad,37.86,3922.8
PO 00093,2016-01-09,Janet Le,Jessica Vargas,Future FoodBetter Bites Deli,Beans,1,50.59,135,Chandigarh,51.09,6829.65
PO 00094,2016-01-09,Ralph Moreno,Barry Salazar,Global Fresh Market,Apple,1,26.6,126,Surat,26.6,3351.6
PO 00095,2016-01-09,Janet Le,Dennis Williams,Fleet Market,Cucumber,1,20.21,136,Nagpur,20.21,2748.56
PO 00096,2016-01-09,Linda Taylor,Catherine Farrell,Food Festive,Tomato,1,16.29,121,Jaipur,16.29,1971.09
PO 00097,2016-01-09,Patricia Williams,Dennis Williams,Fresh Food Marketplace,BeetrootPotato,1,30.14,139,Chennai,30.14,4189.46
PO 00098,2016-01-09,Patrick Wolf,Lawrence Cohen,Food Festive,Tomato,1,18.16,77,Pune,18.66,1398.32
PO 00099,2016-01-09,Janet Le,Shelby Martinez,Budget Foods,Apple,1,38.54,73,Chennai,39.04,2813.42
PO 00100,2016-01-09,Sara Adkins,Shelby Martinez,Go4Fresh,Pumpkin,0,28.35,137,Surat,28.85,3883.95
PO 00101,2016-01-09,Patrick Wolf,Jessica Keith,Stocked Pantry,Banana,1,42.57,136,Kolkatta,42.57,5789.52
PO 00102,2016-01-09,Jake Cunningham,Barry Salazar,Fresh Food Marketplace,Bringal,1,58.5,116,Lucknow,58.5,6786.0
PO 00103,2016-01-09,Heidi White,Jasmine Long,Future FoodBetter Bites Deli,Pumpkin,1,26.05,57,Ahmedabad,26.55,1484.85
PO 00104,2016-01-09,Cameron Grant,Jasmine Long,Dilocious,Pumpkin,1,42.35,103,Jaipur,42.35,4362.05
PO 00105,2016-01-09,Thomas Hamilton,Jessica Vargas,Rancher’s Grocery,Tomato,1,35.79,82,Pune,35.79,2934.78
PO 00106,2016-01-10,Pamela Smith,Jessica Vargas,Go4Fresh,Banana,1,48.51,139,Hyderabad,48.51,6742.89
PO 00107,2016-01-10,Adrian Morgan,Jessica Vargas,Dollar Pantry,Cucumber,1,32.9,141,Hyderabad,33.4,4638.9
PO 00108,2016-01-10,Katelyn Parsons,Mark Mclean,Global Fresh Market,Banana,1,58.19,74,NashikDelhi,58.19,4306.06
PO 00109,2016-01-10,Kimberly Shields,Katie Thompson,Food to Fly,Capsicum,1,34.49,54,NashikDelhi,32.99,1862.46
PO 00110,2016-01-10,Kimberly Shields,Joshua Johnson,Global Fresh Market,Apple,1,59.93,110,Lucknow,60.43,6592.3
PO 00111,2016-01-10,Sara Adkins,Katie Thompson,Budget Foods,Apple,1,10.12,101,Bangalore,8.62,1022.12
PO 00112,2016-01-10,Cameron Grant,Katie Thompson,Dollar Pantry,Cucumber,1,15.54,67,Surat,15.54,1041.18
PO 00113,2016-01-10,Katherine Mcgee DDS,Danny Rivera,Future FoodBetter Bites Deli,Apple,1,33.96,85,Mumbai,34.46,2886.6
PO 00114,2016-01-10,Thomas Hamilton,Katie Thompson,Stocked Pantry,Tomato,0,42.68,100,Chandigarh,43.18,4268.0
PO 00115,2016-01-10,Brittany Walker,Mark Mclean,Budget Foods,Onion,1,11.28,53,NashikDelhi,11.28,597.84
PO 00116,2016-01-11,Patrick Wolf,Danny Rivera,Fresh Food Marketplace,Bringal,0,43.53,121,Kolkatta,44.03,5267.13
PO 00117,2016-01-11,Jake Cunningham,Jeanette Estes,Dollar Pantry,Carrot,0,29.8,125,Nagpur,29.8,3725.0
PO 00118,2016-01-11,Angela Hernandez,Jennifer Delgado,Jamboree Marketplace,Tomato,1,50.8,83,Ahmedabad,51.3,4216.4
PO 00119,2016-01-11,Nicholas Pittman,Mark Mclean,Quick Fare Foods,Pumpkin,1,52.01,135,Pune,50.51,7021.35
PO 00120,2016-01-11,Brittany Walker,Lawrence Cohen,Food Festive,Cucumber,1,40.31,84,Kolkatta,40.81,3386.04
PO 00121,2016-01-11,Adrian Morgan,Jeanette Estes,Fresh Food Marketplace,Cabbage,1,25.94,101,Ahmedabad,25.94,2619.94
PO 00122,2016-01-11,Cameron Grant,Shelby Martinez,Dilocious,Tomato,1,43.36,132,Chandigarh,43.86,5723.52
PO 00123,2016-01-11,Kimberly Shields,Jeanette Estes,Dilocious,Apple,1,29.96,58,Chandigarh,30.46,1737.68
PO 00124,2016-01-11,Lisa Smith,Mark Mclean,Future FoodBetter Bites Deli,Cabbage,1,38.18,139,Pune,38.68,5307.02
PO 00125,2016-01-11,Linda Taylor,Catherine Farrell,Freshmart Co-op,Cauliflower,1,13.57,132,Ahmedabad,14.07,1791.24
PO 00126,2016-01-11,Jay York,Jessica Vargas,Dollar Pantry,Pumpkin,1,10.88,59,Lucknow,11.38,641.92
PO 00127,2016-01-11,Linda Taylor,Mark Mclean,Food Festive,Cucumber,1,35.36,60,Chandigarh,35.86,2121.6
PO 00128,2016-01-11,Angela Hernandez,Jennifer Delgado,Snack Paradise,Pumpkin,1,44.15,120,Ahmedabad,42.65,5298.0
PO 00129,2016-01-11,Jay York,Jeanette Estes,Fleet Market,Beans,1,28.65,68,Hyderabad,27.15,1948.2
PO 00130,2016-01-11,Linda Taylor,Katie Thompson,Quick Fare Foods,Tomato,1,20.9,120,Nagpur,21.4,2508.0
PO 00131,2016-01-11,Katherine Mcgee DDS,Mark Mclean,Freshmart Co-op,Tomato,1,46.03,117,Hyderabad,46.03,5385.51
PO 00132,2016-01-11,Nicholas Pittman,Jasmine Long,Snack Paradise,Tomato,1,56.59,114,Chandigarh,57.09,6451.26
PO 00133,2016-01-12,Ralph Moreno,Joshua Johnson,Food to Fly,Capsicum,1,10.44,80,Chennai,10.44,835.2
PO 00134,2016-01-12,Jeffrey Murphy,Lawrence Cohen,Dilocious,Cabbage,0,46.75,114,Kolkatta,47.25,5329.5
PO 00135,2016-01-12,Janet Le,Jeanette Estes,Future FoodBetter Bites Deli,Beans,0,32.59,146,Chandigarh,31.090000000000003,4758.14
PO 00136,2016-01-12,Heidi White,Danny Rivera,Snack Paradise,Bringal,1,45.29,120,Chennai,45.79,5434.8
PO 00137,2016-01-12,Adrian Morgan,Catherine Farrell,Market Convenience,Pumpkin,1,17.85,77,Lucknow,17.85,1374.45
PO 00138,2016-01-12,Thomas Hamilton,Jennifer Delgado,Food Festive,Onion,1,36.16,56,Mumbai,34.66,2024.96
PO 00139,2016-01-12,Katherine Mcgee DDS,Peggy Velasquez,Food to Fly,Capsicum,0,52.56,107,Mumbai,53.06,5623.92
PO 00140,2016-01-12,Adrian Morgan,Peggy Velasquez,Fresh Food Marketplace,Apple,1,44.23,135,Lucknow,42.73,5971.05
PO 00141,2016-01-13,Brianna Lynn,Jessica Keith,Fresh Food Marketplace,Carrot,1,45.65,138,Hyderabad,45.65,6299.7
PO 00142,2016-01-13,Patrick Wolf,Jennifer Delgado,Food to Fly,Bringal,1,24.07,108,Chennai,24.57,2599.56
PO 00143,2016-01-13,Jay York,Dennis Williams,Budget Foods,Capsicum,1,24.6,128,Mumbai,25.1,3148.8
PO 00144,2016-01-13,Linda Taylor,Shelby Martinez,Snack Paradise,Cauliflower,1,11.97,55,Nagpur,12.47,658.35
PO 00145,2016-01-13,Adrian Morgan,Dennis Williams,Snack Paradise,Cabbage,1,52.24,126,Kolkatta,50.74,6582.24
PO 00146,2016-01-13,Ralph Moreno,Jessica Vargas,Snack Paradise,Carrot,1,32.51,80,Bangalore,31.009999999999998,2600.8
PO 00147,2016-01-13,Elijah Collins,Jessica Keith,Future FoodBetter Bites Deli,Pumpkin,1,46.22,62,Ahmedabad,46.22,2865.64
PO 00148,2016-01-13,Thomas Hamilton,Danny Rivera,Fresh Food Marketplace,Carrot,0,18.92,148,Chandigarh,18.92,2800.16
PO 00149,2016-01-13,Caroline Walters,Jeanette Estes,Dollar Pantry,Banana,1,38.0,95,Nagpur,38.5,3610.0
PO 00150,2016-01-13,Randall Smith,Dennis Williams,Food Festive,Cabbage,1,21.38,112,Lucknow,21.38,2394.56
PO 00151,2016-01-13,Pamela Smith,Danny Rivera,Rancher’s Grocery,Pumpkin,1,36.41,130,Ahmedabad,36.91,4733.3
PO 00152,2016-01-13,Jeffrey Murphy,Jasmine Long,Food to Fly,Pumpkin,1,19.18,102,Kolkatta,19.18,1956.36
PO 00153,2016-01-13,Patricia Williams,Jessica Keith,Go4Fresh,Apple,1,45.52,137,Kolkatta,46.02,6236.24
PO 00154,2016-01-14,Brianna Lynn,Cathy Guzman,Rancher’s Grocery,Bringal,1,18.91,73,Pune,17.41,1380.43
PO 00155,2016-01-14,Caroline Walters,Jessica Keith,Budget Foods,Tomato,0,42.04,115,Chennai,42.04,4834.6
PO 00156,2016-01-14,Randall Smith,Barry Salazar,Quick Fare Foods,Tomato,1,38.18,113,Chennai,38.68,4314.34
PO 00157,2016-01-14,Ralph Moreno,Jessica Keith,Go4Fresh,Tomato,0,44.76,115,Ahmedabad,45.26,5147.4
PO 00158,2016-01-14,Angela Hernandez,Jeanette Estes,Snack Paradise,Capsicum,1,11.02,117,Hyderabad,11.52,1289.34
PO 00159,2016-01-14,Janet Le,Catherine Farrell,Fresh Food Marketplace,Bringal,1,50.63,110,Aurangabad,51.13,5569.3
PO 00160,2016-01-14,Nicholas Pittman,Peggy Velasquez,Stocked Pantry,Bringal,1,18.19,75,Chennai,18.69,1364.25
PO 00161,2016-01-14,Kimberly Shields,Cathy Guzman,Freshmart Co-op,Cabbage,1,56.1,117,Aurangabad,54.6,6563.7
PO 00162,2016-01-14,Ralph Moreno,Dennis Williams,Snack Paradise,Pumpkin,1,16.98,50,Ahmedabad,15.48,849.0
PO 00163,2016-01-14,Linda Taylor,Jessica Vargas,Freshmart Co-op,Banana,1,49.24,53,Ahmedabad,49.24,2609.72
PO 00164,2016-01-14,Jeffrey Murphy,Cathy Guzman,Freshmart Co-op,Onion,0,22.35,116,Aurangabad,22.85,2592.6
PO 00165,2016-01-14,Patrick Wolf,Jennifer Delgado,Rancher’s Grocery,Onion,1,51.52,105,NashikDelhi,52.02,5409.6
PO 00166,2016-01-14,Thomas Hamilton,Katie Thompson,Market Convenience,Carrot,1,36.71,134,Chennai,37.21,4919.14
PO 00167,2016-01-14,Lindsay Martinez,Danny Rivera,Fleet Market,Tomato,1,29.8,115,Mumbai,28.3,3427.0
PO 00168,2016-01-15,Cameron Grant,Lawrence Cohen,Global Fresh Market,Capsicum,1,46.92,98,Nagpur,47.42,4598.16
PO 00169,2016-01-15,Kimberly Shields,Katie Thompson,Fleet Market,Cabbage,0,10.24,113,Kolkatta,10.74,1157.12
PO 00170,2016-01-15,Brianna Lynn,Joshua Johnson,Market Convenience,Onion,1,32.24,50,NashikDelhi,32.74,1612.0
PO 00171,2016-01-15,Heidi White,Barry Salazar,Dollar Pantry,Carrot,1,18.99,138,Kolkatta,19.49,2620.62
PO 00172,2016-01-15,Thomas Hamilton,Joshua Johnson,Snack Paradise,Cabbage,0,49.53,125,Nagpur,50.03,6191.25
PO 00173,2016-01-15,Patrick Wolf,Dennis Williams,Future FoodBetter Bites Deli,Bringal,1,46.44,96,Bangalore,46.44,4458.24
PO 00174,2016-01-15,Brianna Lynn,Jessica Vargas,Market Convenience,Pumpkin,1,34.81,77,Lucknow,34.81,2680.37
PO 00175,2016-01-15,Cameron Grant,Cathy Guzman,Market Convenience,Cauliflower,1,45.85,64,Bangalore,46.35,2934.4
PO 00176,2016-01-16,Brianna Lynn,Mark Mclean,Jamboree Marketplace,Cucumber,1,56.62,150,Chennai,57.12,8493.0
PO 00177,2016-01-16,Patricia Williams,Joshua Johnson,Market Convenience,Cabbage,1,30.05,123,Ahmedabad,30.05,3696.15
PO 00178,2016-01-16,Patricia Williams,Mark Mclean,Food to Fly,Carrot,1,24.69,144,Pune,25.19,3555.36
PO 00179,2016-01-16,Ralph Moreno,Jeanette Estes,Dollar Pantry,Carrot,0,36.47,69,Nagpur,36.47,2516.43
PO 00180,2016-01-16,Janet Le,Cathy Guzman,Stocked Pantry,Pumpkin,1,46.67,64,Mumbai,47.17,2986.88
PO 00181,2016-01-16,Elijah Collins,Jessica Vargas,Freshmart Co-op,Tomato,1,44.49,56,Surat,44.99,2491.44
PO 00182,2016-01-16,Jake Cunningham,Katie Thompson,Budget Foods,Apple,1,57.66,96,Pune,58.16,5535.36
PO 00183,2016-01-16,Adrian Morgan,Shelby Martinez,Snack Paradise,Bringal,1,59.49,150,Hyderabad,57.99,8923.5
PO 00184,2016-01-16,Thomas Hamilton,Mark Mclean,Snack Paradise,Carrot,0,46.84,139,Ahmedabad,47.34,6510.76
PO 00185,2016-01-16,Jeffrey Murphy,Shelby Martinez,Dilocious,Cauliflower,1,51.67,120,Bangalore,51.67,6200.4
PO 00186,2016-01-17,Patricia Williams,Jessica Keith,Quick Fare Foods,Cauliflower,1,35.6,146,Mumbai,34.1,5197.6
PO 00187,2016-01-17,Lindsay Martinez,Jessica Vargas,Market Convenience,Banana,1,15.83,137,Pune,15.83,2168.71
PO 00188,2016-01-17,Linda Taylor,Jennifer Delgado,Quick Fare Foods,BeetrootPotato,1,55.73,72,Bangalore,55.73,4012.56
PO 00189,2016-01-17,Katherine Mcgee DDS,Katie Thompson,Fleet Market,Tomato,1,10.61,73,Hyderabad,11.11,774.53
PO 00190,2016-01-17,Jeffrey Murphy,Lawrence Cohen,Jamboree Marketplace,Banana,1,49.42,75,Pune,47.92,3706.5
PO 00191,2016-01-17,Lisa Smith,Cathy Guzman,Snack Paradise,Apple,1,39.83,125,Aurangabad,40.33,4978.75
PO 00192,2016-01-17,Lindsay Martinez,Peggy Velasquez,Go4Fresh,Cauliflower,1,33.09,136,Nagpur,33.09,4500.24
PO 00193,2016-01-17,Jay York,Danny Rivera,Go4Fresh,Carrot,1,12.35,120,Pune,12.85,1482.0
PO 00194,2016-01-17,Nicholas Pittman,Barry Salazar,Dilocious,Onion,1,24.42,138,Pune,24.42,3369.96
PO 00195,2016-01-17,Jake Cunningham,Barry Salazar,Food to Fly,Cucumber,1,45.64,135,Mumbai,44.14,6161.4
PO 00196,2016-01-17,Heidi White,Danny Rivera,Fleet Market,Beans,1,20.06,135,Surat,20.56,2708.1
PO 00197,2016-01-18,Brianna Lynn,Joshua Johnson,Food to Fly,Apple,1,32.36,125,Hyderabad,32.86,4045.0
PO 00198,2016-01-18,Jake Cunningham,Shelby Martinez,Quick Fare Foods,Banana,1,22.95,150,NashikDelhi,23.45,3442.5
PO 00199,2016-01-18,Ralph Moreno,Jessica Keith,Future FoodBetter Bites Deli,Bringal,1,33.49,88,Hyderabad,33.49,2947.12
PO 00200,2016-01-18,Jeffrey Murphy,Jeanette Estes,Dollar Pantry,Onion,0,34.05,131,NashikDelhi,34.05,4460.55
PO 00201,2016-01-18,Jeffrey Murphy,Jasmine Long,Rancher’s Grocery,Banana,1,55.27,59,Chennai,55.27,3260.93
PO 00202,2016-01-18,Kimberly Shields,Mark Mclean,Global Fresh Market,Pumpkin,1,24.08,138,Bangalore,24.58,3323.04
PO 00203,2016-01-18,Nicholas Pittman,Jeanette Estes,Dollar Pantry,Cauliflower,0,39.13,137,Kolkatta,39.13,5360.81
PO 00204,2016-01-18,Randall Smith,Danny Rivera,Global Fresh Market,Pumpkin,0,57.98,56,Chandigarh,57.98,3246.88
